"Date","App","Transaction type","Offer","Country/region","Currency","Transaction amount","Store fee","App proceeds","App proceeds(GBP)","Settled","Payment date"
"9/19/2013","Comic Reader","In-app purchase","ComixPro","AU","AUD","1.49","0.45","1.04","","No","N/A"
"9/19/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/19/2013","Comic Reader","In-app purchase","ComixPro","SE","SEK","8.70","2.61","6.09","","No","N/A"
"9/19/2013","Comic Reader","In-app purchase","ComixPro","GB","GBP","0.86","0.26","0.60","","No","N/A"
"9/19/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/20/2013","Comic Reader","In-app purchase","ComixPro","GB","GBP","0.86","0.26","0.60","","No","N/A"
"9/20/2013","Comic Reader","In-app purchase","ComixPro","CH","CHF","1.30","0.39","0.91","","No","N/A"
"9/20/2013","Comic Reader","In-app purchase","ComixPro","DE","EUR","1.03","0.31","0.72","","No","N/A"
"9/21/2013","Comic Reader","In-app purchase","ComixPro","IT","EUR","1.03","0.31","0.72","","No","N/A"
"9/21/2013","Comic Reader","In-app purchase","ComixPro","BE","EUR","1.03","0.31","0.72","","No","N/A"
"9/21/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/22/2013","Comic Reader","In-app purchase","ComixPro","RU","RUB","45.00","13.50","31.50","","No","N/A"
"9/22/2013","Comic Reader","In-app purchase","ComixPro","CA","CAD","1.49","0.45","1.04","","No","N/A"
"9/23/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/23/2013","Comic Reader","In-app purchase","ComixPro","CA","CAD","1.49","0.45","1.04","","No","N/A"
"9/23/2013","Comic Reader","In-app purchase","ComixPro","CA","CAD","1.49","0.45","1.04","","No","N/A"
"9/24/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/24/2013","Comic Reader","In-app purchase","ComixPro","SE","SEK","8.70","2.61","6.09","","No","N/A"
"9/25/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/26/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/27/2013","Comic Reader","In-app purchase","ComixPro","DE","EUR","1.03","0.31","0.72","","No","N/A"
"9/28/2013","Comic Reader","In-app purchase","ComixPro","CA","CAD","1.49","0.45","1.04","","No","N/A"
"9/28/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/30/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"9/30/2013","Comic Reader","In-app purchase","ComixPro","IT","EUR","1.03","0.31","0.72","","No","N/A"
"9/30/2013","Comic Reader","Reversal","ComixPro","IT","EUR","-1.03","-0.31","-0.72","","No","N/A"
"10/1/2013","Comic Reader","In-app purchase","ComixPro","NL","EUR","1.03","0.31","0.72","","No","N/A"
"10/1/2013","Comic Reader","In-app purchase","ComixPro","RU","RUB","45.00","13.50","31.50","","No","N/A"
"10/2/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/2/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/3/2013","Comic Reader","In-app purchase","ComixPro","CA","CAD","1.49","0.45","1.04","","No","N/A"
"10/4/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/4/2013","Comic Reader","In-app purchase","ComixPro","DE","EUR","1.03","0.31","0.72","","No","N/A"
"10/4/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/5/2013","Comic Reader","In-app purchase","ComixPro","FR","EUR","1.03","0.31","0.72","","No","N/A"
"10/5/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/6/2013","Comic Reader","In-app purchase","ComixPro","GB","GBP","0.86","0.26","0.60","","No","N/A"
"10/6/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/6/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/7/2013","Comic Reader","In-app purchase","ComixPro","GB","GBP","0.86","0.26","0.60","","No","N/A"
"10/10/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/11/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/11/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/11/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/11/2013","Comic Reader","Reversal","ComixPro","US","USD","-1.49","-0.45","-1.04","","No","N/A"
"10/12/2013","Comic Reader","Reversal","ComixPro","CA","CAD","-1.49","-0.45","-1.04","","No","N/A"
"10/12/2013","Comic Reader","In-app purchase","ComixPro","SE","SEK","8.70","2.61","6.09","","No","N/A"
"10/12/2013","Comic Reader","In-app purchase","ComixPro","NL","EUR","1.03","0.31","0.72","","No","N/A"
"10/13/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
"10/13/2013","Comic Reader","In-app purchase","ComixPro","US","USD","1.49","0.45","1.04","","No","N/A"
